country_name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,,,,4.76316,4.3955400000000004,4.71468,4.73949,4.92427,,4.4089,4.68076,,4.799180000000001,4.91559,5.92467,6.71249,6.0368699999999995,6.55339,6.796289999999999,6.1306199999999995
Afghanistan,,,,,,,,,,,,,,,,3.46196,3.43785,2.52441,3.47171,3.77759
Angola,,,,2.5914900000000003,,2.60753,,,,,2.7762,2.85969,,,,3.47644,,,,
Albania,3.76471,2.9763,3.23428,3.3264199999999997,3.3797099999999998,3.28692,3.3406,3.0566400000000002,3.06427,3.17008,3.2387200000000003,3.15719,3.26868,,,,,,3.53798,
Andorra,,,3.71328,,,,,1.6968400000000001,,1.53254,1.60025,2.1939900000000003,2.07405,2.93457,3.16387,3.0658,3.15889,,2.46258,3.06442
United Arab Emirates,,,1.10944,,,,,,,,,,,,,,,,,
Argentina,,3.73198,,4.03987,4.52168,4.58031,4.83374,4.01734,3.53505,3.15654,3.47405,3.65499,3.89635,4.33782,4.89,4.60637,4.98632,5.09906,5.3441,5.54727
Armenia,,1.84843,,,2.2351900000000002,2.77273,2.46944,2.13504,2.1450400000000003,2.48673,2.71203,2.71577,3.01894,3.17273,3.84079,3.2489999999999997,3.14385,2.77248,2.6501799999999998,2.2405
Antigua and Barbuda,,,,,3.23707,,,3.44539,,,,,,,2.5544700000000002,,,,,
Australia,5.1336699999999995,5.23053,,,,4.89466,,,,,4.91266,4.74494,4.6611400000000005,4.635280000000001,5.09264,5.56895,5.09909,4.89647,5.27065,
Austria,5.44146,5.27168,,6.1199,6.12533,5.599559999999999,5.58635,5.5326900000000006,5.381869999999999,5.32094,5.27148,5.25293,5.17663,5.2969800000000005,5.7674,5.72503,5.61942,5.45336,5.56484,
Azerbaijan,3.3373699999999995,3.51252,,3.38,4.2121699999999995,3.85399,3.5034199999999998,3.15449,3.28615,3.44766,2.9746200000000003,2.55551,2.54928,2.44093,3.22431,2.78062,2.4356400000000002,2.0963,2.46218,2.63466
Burundi,5.01511,4.08324,,,3.41745,2.64548,2.9039099999999998,3.00493,,3.74496,3.6316900000000003,,,5.19355,6.31979,6.79287,5.99779,5.82091,5.41475,
Belgium,2.97274,3.0261099999999996,,,,,5.8432900000000005,5.94735,5.88478,5.80695,5.769,5.8403599999999996,5.84903,6.29139,6.41536,6.40799,6.3787400000000005,,,
Benin,,,,2.74789,2.62665,2.88869,3.23235,2.95134,3.12027,3.5080400000000003,3.63079,3.50328,3.22981,3.79566,4.22204,5.029319999999999,,4.88943,4.57055,4.380730000000001
Burkina Faso,,1.44026,,,,,,,,,4.4326,4.4570300000000005,4.58858,,,3.93896,4.48326,4.05353,4.53051,4.49753
Bangladesh,,,1.9524700000000001,,2.13282,2.12508,2.17193,2.01715,2.0693900000000003,1.9401400000000002,,2.1312900000000004,2.20222,2.05457,1.9394200000000001,,2.1327,2.1755,1.96616,
Bulgaria,3.4470099999999997,2.71204,,2.81427,,,3.39575,3.39488,4.011769999999999,2.32557,4.11536,3.91204,3.65297,4.20479,4.29411,3.9153599999999997,3.59234,3.52336,4.07164,
Bahrain,,,,,,,,,,,,2.87436,2.575,2.4967799999999998,,,,2.6447,,
"Bahamas, The",,,,,,2.84999,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,6.00001,6.196619999999999,,,,5.71226,5.87103,6.07696,5.1521,,4.516719999999999,5.4101300000000005,4.84382,5.12106,5.17594,4.98983
Belize,,,,,5.44344,5.02843,5.796930000000001,,5.20682,5.2994,,,,5.68789,6.100140000000001,6.621,,,6.2182699999999995,
Bolivia,5.608169999999999,4.65741,,5.52301,5.65932,5.47342,5.8994599999999995,6.23031,6.37904,,,6.31361,,7.0397300000000005,8.0812,7.600110000000001,6.88847,6.4252400000000005,6.25793,7.28535
Brazil,4.47317,,,4.75666,3.80062,3.9489199999999998,3.8446800000000003,3.7503699999999998,,3.9744900000000003,4.479080000000001,4.8706,4.97426,5.26884,5.46355,5.6488,5.74098,5.80009,5.99795,
Barbados,,,,,4.25488,4.62167,5.93509,5.76363,6.12156,5.9038,5.55673,,5.11607,5.06121,5.32773,5.87482,,5.62441,5.50356,6.71179
Brunei Darussalam,,,,5.25395,4.93205,3.70591,,,,,,,,,,2.04661,3.68108,3.20704,,3.76595
Bhutan,,,,,,5.51379,5.7178,,,6.4179900000000005,7.0781,,,4.7975,4.62672,4.02447,4.65258,,5.58966,5.90333
Botswana,,,,,,,,,,,10.67859,,8.85149,,9.63292,,,,,
Central African Republic,,,,,1.69002,1.61265,,1.51957,1.5398,1.62453,1.63638,1.41506,1.31289,1.2900200000000002,1.30356,1.20455,1.2191299999999998,,,
Canada,6.32445,,,5.51196,5.54994,5.44201,4.9695800000000006,5.010730000000001,,,4.78215,,4.78036,4.63826,4.85264,5.36993,5.27444,,,
Switzerland,5.0721300000000005,5.07918,,4.88814,4.8907099999999994,4.78836,4.95985,5.31939,5.53839,5.45434,5.21884,4.98152,4.71197,4.89285,5.05967,4.94787,4.9934199999999995,5.05331,5.06686,
Chile,2.64011,2.88004,3.09043,3.43289,3.8405199999999997,3.7059800000000003,,4.009469999999999,3.8516,3.48845,3.2250799999999997,3.0238099999999997,3.22353,3.7926699999999998,4.24129,4.18121,4.06808,4.57408,4.55077,4.7640199999999995
China,1.84825,1.8596400000000002,,1.8511099999999998,1.89593,,,,,,,,,,,,,,,
Cote d'Ivoire,4.30145,4.05623,4.03089,3.7879400000000003,4.09433,3.70367,3.66868,4.090330000000001,3.9679900000000004,4.12786,4.10575,4.0015,4.25833,4.34126,4.41246,4.55346,4.13755,4.61108,4.72472,4.719469999999999
Cameroon,,,,,,1.93258,2.60995,,3.3018199999999998,3.32991,3.12323,2.95568,3.36625,2.95686,3.46009,3.31319,3.05291,2.96539,3.02834,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,1.6024399999999999,,,2.24475,
"Congo, Rep.",4.91034,,,4.06827,,,,3.20832,2.83616,2.2881299999999998,1.8357700000000001,,,,,6.22079,,,,
Colombia,,,,3.92644,4.4408,3.5112099999999997,3.70868,4.26813,4.32514,4.07935,3.9950099999999997,3.8933199999999997,4.0587,3.9098,4.7474300000000005,4.82616,4.45981,4.38531,4.90324,4.66245
Comoros,,,,3.78254,,,,3.88059,,,,,,7.794169999999999,,,5.10933,5.07112,4.43951,5.051880000000001
Cabo Verde,,,,6.391769999999999,6.80168,,,7.8768199999999995,,7.47664,,6.5296,5.40755,5.518,5.30896,5.56729,5.04361,,5.03693,
Costa Rica,3.3116,3.83658,,,4.86788,4.39395,4.706119999999999,5.06924,5.0616699999999994,4.89459,,4.6544099999999995,4.733569999999999,5.04484,6.2891,6.8118,6.61587,6.862989999999999,6.92006,7.01163
Cuba,,,,6.20866,6.75508,7.704860000000001,8.35785,9.5712,9.94078,10.26828,10.55769,9.05729,11.86829,14.059079999999998,13.125160000000001,12.83727,,,,
Curacao,,,,,,,,,,,,,,,,,,,4.9299,
Cyprus,3.74813,,,,4.79691,5.01779,5.14965,5.6183,6.71737,6.17329,6.34274,6.39555,6.34744,6.80899,7.30415,6.661910000000001,6.64467,,6.43942,
Czech Republic,4.56385,4.283869999999999,,3.6035800000000004,3.6932400000000003,3.6613,3.75679,3.98297,4.15004,4.020519999999999,3.89869,4.22392,3.875,3.75273,4.18041,4.073519999999999,4.28408,4.27011,4.11198,
Germany,4.42079,4.4831900000000005,,4.45345,,,,,,,,4.2793,4.343030000000001,4.40954,4.88048,4.91368,4.8078,4.9394,4.94445,
Djibouti,,,,,7.62948,9.66,7.80543,8.4476,8.88985,9.264669999999999,8.36589,8.278780000000001,8.40625,,,4.49022,,,,
Dominica,,,,7.160589999999999,4.99184,,,,,,,,,,,,,,,
Denmark,7.471030000000001,7.884939999999999,,8.10674,7.93116,8.08433,8.21545,8.21303,8.121939999999999,8.21188,8.08275,7.72783,7.61377,7.492360000000001,8.487960000000001,8.617980000000001,8.5471,7.285410000000001,8.61116,
Dominican Republic,1.0484799999999999,1.23468,,,,1.91261,2.0237,1.97101,1.8763599999999998,,,,2.05124,,,,,,,
Algeria,,,,,,,,,,,,,,4.33702,,,,,,
Ecuador,1.99764,,,2.19537,1.54734,1.15093,,,,,,,,,4.34242,4.50743,4.72689,4.64307,5.0233099999999995,5.30316
"Egypt, Arab Rep.",4.604,4.67157,,,,,,,4.94563,4.670719999999999,4.79443,4.00178,3.6846099999999997,3.7608300000000003,,,,,,
Eritrea,,1.63855,,4.62058,5.26281,,4.04716,3.5239,,3.1489700000000003,,2.127,,,,,,,,
Spain,4.4467099999999995,4.46852,,4.30296,4.270519999999999,4.1763699999999995,4.11988,4.13603,4.16717,4.14829,4.1300300000000005,4.167590000000001,4.23332,4.50101,4.86779,4.81922,4.8665,4.41889,4.304930000000001,
Estonia,6.07306,6.10584,6.44819,6.2986,6.687360000000001,5.34021,5.23648,5.46868,5.29462,4.91181,4.84485,,4.663959999999999,5.51751,5.95415,5.526269999999999,5.01738,4.69431,4.8173699999999995,
Ethiopia,,2.77462,2.75794,,,3.98311,3.7002900000000003,3.63245,,,,5.49096,5.45113,5.4082,4.42207,4.49659,5.48576,5.5667800000000005,4.49855,
Finland,6.809419999999999,6.860530000000001,,,5.86961,5.716880000000001,5.84797,6.024780000000001,6.17477,6.1685,6.03606,5.9381,5.68609,5.846769999999999,6.485180000000001,6.54071,6.48201,7.192539999999999,7.15848,
Fiji,,,,5.51262,5.15351,5.85725,5.61714,6.2438199999999995,,6.16493,5.12197,5.60714,5.8484300000000005,4.25357,4.498480000000001,,4.17305,,3.8772300000000004,
France,5.75908,5.72616,,5.65912,5.64529,5.51673,5.41704,5.40916,5.72295,5.63702,5.49981,5.44211,5.44519,5.444030000000001,5.7384900000000005,5.68342,5.51584,5.533440000000001,5.50531,
"Micronesia, Fed. Sts.",,,,,6.40977,6.7081800000000005,,,,,,,,,,,,,,
Gabon,,,,3.41966,3.08123,3.82709,,,,,,,,,,3.07809,2.98746,3.0134,3.0297099999999997,2.66667
United Kingdom,4.8392599999999995,4.755669999999999,,4.54001,4.29098,4.33246,4.39216,4.95389,5.10268,5.00705,5.19501,5.232080000000001,5.15348,5.10941,5.3091800000000005,5.9406099999999995,5.76206,,5.68624,5.75119
Georgia,,,,2.10888,2.1551299999999998,2.18107,2.1375,2.23501,2.0656,2.9142,2.48431,3.0036400000000003,2.69687,2.9195599999999997,3.2223900000000003,,2.6962200000000003,1.98331,,
Ghana,,,,,4.11037,,5.35444,,,7.53558,7.42208,5.25994,5.51987,5.75796,5.31744,5.5406,8.14097,7.91914,,6.15983
Guinea,,,,,2.36142,2.5934,2.0819099999999997,2.59387,2.37102,2.21,1.84906,,,2.43837,3.21608,3.6918599999999997,3.06283,2.47139,3.5408800000000005,3.2108
"Gambia, The",2.55356,2.56628,,,1.56513,1.46587,1.1581,1.44292,1.36338,1.0345,1.1391799999999999,1.20949,1.30851,3.5274199999999998,3.07235,4.15338,3.8992199999999997,4.08975,2.7677099999999997,
Guinea-Bissau,,,,,5.246169999999999,,,,,,,,,,,1.8642400000000001,1.8459,1.98848,2.1722099999999998,
Equatorial Guinea,,,,2.18798,,,,,,,,,,,,,,,,
Greece,,,,2.89256,3.02773,3.2301900000000003,3.36458,3.4243099999999997,3.4293400000000003,3.66719,3.9639599999999997,,,,,,,,,
Grenada,,,,,,,,,3.92674,,,,,,,,,,,
Guatemala,1.6048,1.5637,,,,,,,,,,2.98401,3.03874,3.18454,,2.80306,2.92014,2.9578599999999997,2.84226,2.94139
Guyana,3.60934,,,,8.561060000000001,8.48415,8.58889,8.40805,6.966539999999999,5.52623,8.13973,5.08927,3.7522800000000003,,3.36104,3.66099,3.5912300000000004,3.19404,,
"Hong Kong SAR, China",,2.72831,,,,,3.9037,4.0155400000000006,4.2853,4.55896,4.1346300000000005,3.84279,3.45455,3.26063,4.39213,3.5100300000000004,3.41822,3.50961,3.7603199999999997,3.57196
Honduras,3.57875,,,,,,,,,,,,,,,,,,5.87493,
Croatia,,,,,,,,3.81086,3.86755,3.8208599999999997,,,3.9711199999999995,4.27013,4.38926,4.25217,4.15795,,4.58756,
Haiti,,,,,,,,,,,,,,,,,,,,
Hungary,4.87127,4.35096,,4.41695,4.570819999999999,4.87341,4.93961,5.18631,5.81182,5.35228,5.35224,5.33501,5.17582,5.0065599999999995,4.9957199999999995,4.79943,4.628769999999999,,4.22919,
Indonesia,1.00435,1.07855,1.07208,,,,2.4600299999999997,2.64569,3.218,2.74847,2.87282,,3.04425,2.9019,3.5251300000000003,2.81228,3.1894400000000003,3.4074800000000005,3.3590400000000002,3.28922
India,,,3.30343,3.5109800000000004,4.33929,4.25026,,,3.55114,3.2947599999999997,3.1338,3.0907299999999998,,,3.21076,3.3195900000000003,3.7232,3.86763,3.8418400000000004,
Ireland,4.86616,4.75017,,4.29347,4.14098,4.13743,4.09406,4.1064300000000005,4.19909,4.48536,4.52773,4.54724,4.71579,5.45059,6.1593,6.09526,5.753419999999999,5.77465,5.34096,
"Iran, Islamic Rep.",4.08181,3.53776,,,4.22041,4.03064,4.071680000000001,4.48488,4.36322,4.29663,4.19665,4.4189,4.73283,4.05765,3.98898,3.87112,3.6586199999999995,3.22458,3.15049,2.95381
Iraq,,,,,,,,,,,,,,,,,,,,
Iceland,4.74191,5.16557,,6.812189999999999,6.47283,6.504169999999999,6.795610000000001,7.42368,7.32994,7.22434,7.38386,7.37425,7.0613,7.25435,7.35716,7.21403,7.04753,7.879760000000001,7.81125,
Israel,,,,6.6604399999999995,6.41786,6.11555,6.37714,6.46804,6.36037,5.94699,5.747319999999999,5.742719999999999,5.483630000000001,5.51871,5.47869,5.52761,5.56064,5.70345,5.85796,
Italy,4.33294,4.4595199999999995,,4.46347,4.52336,4.2988599999999995,4.668880000000001,4.4471099999999995,4.5548,4.39717,4.24942,4.53777,4.118519999999999,4.40287,4.53631,4.35239,4.14407,,4.16504,
Jamaica,3.7421300000000004,4.16108,4.96098,,,5.0151,5.41476,5.42852,4.25685,3.91255,4.61642,,5.49022,6.191319999999999,6.19851,6.37133,6.26769,6.11948,6.25986,6.02607
Jordan,,7.4759899999999995,6.36608,,4.94514,,,,,,,,,,,,,,,
Japan,3.50624,,,3.4262300000000003,3.5367300000000004,3.6188800000000003,3.5712900000000003,3.58506,3.6425699999999996,3.59859,3.48391,3.46274,3.46368,3.44024,,3.78135,3.77598,3.84752,3.8167199999999997,3.77115
Kazakhstan,4.03445,3.92371,4.37343,,3.8925699999999996,3.2566200000000003,,3.0297,,2.2559099999999996,2.26353,2.62678,2.8313900000000003,2.58946,3.06072,,,,,
Kenya,,,,,5.32324,5.186730000000001,5.20621,6.172000000000001,6.494269999999999,6.796930000000001,7.33565,7.04984,,,,5.50822,5.33535,5.50904,5.4116599999999995,5.27982
Kyrgyz Republic,6.15643,4.90261,,4.919630000000001,4.08522,3.5083699999999998,3.85419,4.445469999999999,4.47541,4.6224300000000005,4.87384,5.54986,6.4670000000000005,5.91319,6.23268,5.81883,6.79062,7.3842300000000005,6.7802,5.5316
Cambodia,,,,1.2590700000000001,,1.66681,1.72403,1.71121,,1.7198200000000001,,,1.5993,,1.6656799999999998,1.53379,1.5106899999999999,1.56269,2.0211200000000002,1.90083
Kiribati,,,,,10.6302,11.14303,11.98812,,,,,,,,,,,,,
